name,waitTime,currentStatus,date,time,isRide
Guardians of the Galaxy: Cosmic Rewind,95.0,OPERATING,04-01-2026,11:15,True
Gran Fiesta Tour Starring The Three Caballeros,5.0,OPERATING,04-01-2026,11:15,True
Disney and Pixar Short Film Festival,,OPERATING,04-01-2026,11:30,True
The Seas with Nemo & Friends,40.0,OPERATING,04-01-2026,11:30,True
Frozen Ever After,65.0,OPERATING,04-01-2026,11:30,True
Awesome Planet,,OPERATING,04-01-2026,11:30,True
American Heritage Gallery,,OPERATING,04-01-2026,11:30,False
Remy's Ratatouille Adventure,65.0,OPERATING,04-01-2026,11:30,True
Advanced Training Lab,,OPERATING,04-01-2026,11:30,False
Stave Church Gallery,,OPERATING,04-01-2026,11:30,False
Turtle Talk With Crush,25.0,OPERATING,04-01-2026,11:30,True
Bruce's Shark World,,OPERATING,04-01-2026,11:30,False
Impressions de France,,CLOSED,04-01-2026,11:30,True
Journey Into Imagination With Figment,20.0,OPERATING,04-01-2026,11:30,True
Reflections of China,15.0,OPERATING,04-01-2026,11:30,True
The American Adventure,,OPERATING,04-01-2026,11:30,False
Mexico Folk Art Gallery,,OPERATING,04-01-2026,11:30,False
Spaceship Earth,40.0,OPERATING,04-01-2026,11:30,True
Test Track,105.0,OPERATING,04-01-2026,11:30,True
Kidcot Fun Stops,,OPERATING,04-01-2026,11:30,False
Living with the Land,25.0,OPERATING,04-01-2026,11:30,True
SeaBase Aquarium,,OPERATING,04-01-2026,11:30,False
"ImageWorks - The ""What If"" Labs",,OPERATING,04-01-2026,11:30,False
Gallery of Arts and History,,OPERATING,04-01-2026,11:30,False
House of the Whispering Willows,,OPERATING,04-01-2026,11:30,False
Project Tomorrow: Inventing the Wonders of the Future,,OPERATING,04-01-2026,11:30,False
"Journey of Water, Inspired by Moana",,OPERATING,04-01-2026,11:30,True
Beauty and the Beast Sing-Along,,CLOSED,04-01-2026,11:30,True
Palais du Cinéma,,OPERATING,04-01-2026,11:30,False
Bijutsu-kan Gallery,,OPERATING,04-01-2026,11:30,False
Canada Far and Wide in Circle-Vision 360,15.0,OPERATING,04-01-2026,11:30,True
Soarin' Around the World,75.0,OPERATING,04-01-2026,11:30,True
Mission: SPACE,15.0,OPERATING,04-01-2026,11:30,True
Guardians of the Galaxy: Cosmic Rewind,95.0,OPERATING,04-01-2026,11:30,True
Gran Fiesta Tour Starring The Three Caballeros,5.0,OPERATING,04-01-2026,11:30,True
Disney and Pixar Short Film Festival,,OPERATING,04-01-2026,11:45,True
The Seas with Nemo & Friends,15.0,OPERATING,04-01-2026,11:45,True
Frozen Ever After,65.0,OPERATING,04-01-2026,11:45,True
Awesome Planet,,OPERATING,04-01-2026,11:45,True
American Heritage Gallery,,OPERATING,04-01-2026,11:45,False
Remy's Ratatouille Adventure,50.0,OPERATING,04-01-2026,11:45,True
Advanced Training Lab,,OPERATING,04-01-2026,11:45,False
Stave Church Gallery,,OPERATING,04-01-2026,11:45,False
Turtle Talk With Crush,25.0,OPERATING,04-01-2026,11:45,True
Bruce's Shark World,,OPERATING,04-01-2026,11:45,False
Impressions de France,,CLOSED,04-01-2026,11:45,True
Journey Into Imagination With Figment,20.0,OPERATING,04-01-2026,11:45,True
Reflections of China,15.0,OPERATING,04-01-2026,11:45,True
The American Adventure,,OPERATING,04-01-2026,11:45,False
Mexico Folk Art Gallery,,OPERATING,04-01-2026,11:45,False
Spaceship Earth,40.0,OPERATING,04-01-2026,11:45,True
Test Track,110.0,OPERATING,04-01-2026,11:45,True
Kidcot Fun Stops,,OPERATING,04-01-2026,11:45,False
Living with the Land,15.0,OPERATING,04-01-2026,11:45,True
SeaBase Aquarium,,OPERATING,04-01-2026,11:45,False
"ImageWorks - The ""What If"" Labs",,OPERATING,04-01-2026,11:45,False
Gallery of Arts and History,,OPERATING,04-01-2026,11:45,False
House of the Whispering Willows,,OPERATING,04-01-2026,11:45,False
Project Tomorrow: Inventing the Wonders of the Future,,OPERATING,04-01-2026,11:45,False
"Journey of Water, Inspired by Moana",,OPERATING,04-01-2026,11:45,True
Beauty and the Beast Sing-Along,,CLOSED,04-01-2026,11:45,True
Palais du Cinéma,,OPERATING,04-01-2026,11:45,False
Bijutsu-kan Gallery,,OPERATING,04-01-2026,11:45,False
Canada Far and Wide in Circle-Vision 360,15.0,OPERATING,04-01-2026,11:45,True
Soarin' Around the World,75.0,OPERATING,04-01-2026,11:45,True
Mission: SPACE,15.0,OPERATING,04-01-2026,11:45,True
Guardians of the Galaxy: Cosmic Rewind,95.0,OPERATING,04-01-2026,11:45,True
Gran Fiesta Tour Starring The Three Caballeros,5.0,OPERATING,04-01-2026,11:45,True
Disney and Pixar Short Film Festival,,OPERATING,04-01-2026,12:00,True
The Seas with Nemo & Friends,20.0,OPERATING,04-01-2026,12:00,True
Frozen Ever After,75.0,OPERATING,04-01-2026,12:00,True
Awesome Planet,,OPERATING,04-01-2026,12:00,True
American Heritage Gallery,,OPERATING,04-01-2026,12:00,False
Remy's Ratatouille Adventure,70.0,OPERATING,04-01-2026,12:00,True
Advanced Training Lab,,OPERATING,04-01-2026,12:00,False
Stave Church Gallery,,OPERATING,04-01-2026,12:00,False
Turtle Talk With Crush,25.0,OPERATING,04-01-2026,12:00,True
Bruce's Shark World,,OPERATING,04-01-2026,12:00,False
Impressions de France,,CLOSED,04-01-2026,12:00,True
Journey Into Imagination With Figment,15.0,OPERATING,04-01-2026,12:00,True
Reflections of China,15.0,OPERATING,04-01-2026,12:00,True
The American Adventure,,OPERATING,04-01-2026,12:00,False
Mexico Folk Art Gallery,,OPERATING,04-01-2026,12:00,False
Spaceship Earth,40.0,OPERATING,04-01-2026,12:00,True
Test Track,105.0,OPERATING,04-01-2026,12:00,True
